data_Lançamento;1. Pessoal Ativo;2. Pessoal Inativo e Pensionistas;4. Indenizações por Demissão e Incentivo à Demissão;5. Decorrentes de Decisão Judicial;6. Despesas de Exercicios Anteriores;7. Inativos e Pensionistas com Recursos Vinculados;9. Receita Corrente;10. Deduções
01-2019;643947065,3;632955187,8;477031,0;648563,8;19681194,2;404945233,6;3102283283,7;807465261,0
02-2019;695054722,4;613504306,2;256064,7;37337,6;2735060,4;377625728,1;3204916826,9;977769824,1
03-2019;676459405,8;694646738,2;447509,8;160590,0;2533280,0;478851283,8;2812083931,6;833718589,6
04-2019;672186416,2;648945820,8;224837,7;535746,3;4372336,0;404570059,2;2870976506,5;858498711,6
05-2019;700835490,1;664448131,2;587484,1;83552,2;15818609,0;443157356,4;2880634003,9;817251623,5
06-2019;696111913,0;678799380,4;364884,7;3000,0;1878187,1;434079991,6;2628248694,6;742814805,2
07-2019;714488508,5;673492646,7;276941,6;83804,3;23396830,2;436238858,6;2679134758,3;791682180,8
08-2019;725095867,4;673324890,5;503735,7;211051,1;51950512,5;440117632,1;2751079668,0;777030648,9
09-2019;730622794,5;696819594,6;581736,1;21298462,6;2966339,9;448987950,8;2563441472,8;715299570,6
10-2019;673369794,8;673130775,3;384545,2;548887,8;1596962,8;430256098,3;2827912273,5;757021739,2
11-2019;692979733,1;631532682,9;464088,8;4413042,5;1061503,1;360052383,6;3001162871,3;864702157,4
12-2019;1532749524,3;1276678665,9;279681,5;110225004,1;77151206,8;820233922,9;4225554922,8;1263874636,8
01-2020;676071634,2;721357147,6;323232,8;29155,8;15439490,4;338834816,2;3257244375,1;764586703,6
02-2020;680365060,7;595102242,5;232951,9;13093,7;2480278,4;358207616,5;3520596989,5;1078037478,4
03-2020;699197193,8;763276112,0;270208,3;139259,6;14302740,3;454082841,9;2797012299,2;837371171,0
04-2020;640126673,9;716024474,3;123236,6;300,0;884979,6;453428430,0;2782936170,3;740990264,3
05-2020;713997390,7;753698752,8;254159,4;29847,6;1221113,2;484715340,8;2262196053,4;631677758,9
06-2020;692001791,0;714801389,5;107161,9;30556,7;986270,7;455400753,1;2896668781,6;675500449,6
07-2020;684223361,6;724954345,1;201343,4;35465,0;2808795,5;468963814,0;2990362543,1;748445011,2
08-2020;806494848,8;703829517,2;144895,1;134712410,5;1129591,1;441162101,4;3297108537,2;850700623,3
09-2020;668987606,9;705934849,8;183904,8;0,0;959111,0;466729375,1;3466195433,5;832333282,6
10-2020;727840862,0;696654894,7;194708,7;0,0;498077,6;415451306,4;3099094855,2;845910242,0
11-2020;666768313,7;721412585,9;227812,0;209000,0;1263174,5;475465846,1;3213980758,5;895197682,2
12-2020;1488817988,2;1445845815,5;319045,2;18349670,6;69409614,7;884646627,9;3754509413,8;1198176945,0
01-2021;679620216,0;476558974,5;187555,5;0,0;36454996,5;234115553,6;3671595923,3;941016037,6
02-2021;659839816,5;473723043,7;303504,5;0,0;3892372,8;180074031,0;3847985555,3;1008512885,5
03-2021;648456546,7;480688354,0;267050,4;270289,7;2174394,3;186829466,1;3412869384,8;1203496913,7
04-2021;659385405,3;469008728,3;336936,1;44166,2;1491110,2;258181712,8;3235353590,0;947536133,7
05-2021;659926564,2;476432552,6;423281,3;12158,8;1385580,8;193711217,4;3201085344,8;873085841,4
06-2021;669007112,2;477003312,1;236990,4;5000,0;-974172,2;176089274,3;3503352190,8;989616565,4
07-2021;688003480,8;480651232,3;488591,4;3861,0;3972142,5;188420862,3;3293870139,7;922166558,0
08-2021;713863365,4;484202936,2;356997,6;123164,2;611636,1;176533964,9;4122273640,2;1152783678,0
09-2021;747661698,0;481768457,2;273792,6;65770428,0;1640909,8;175641490,2;4132470200,1;969021930,2
10-2021;759929290,4;485466601,2;233826,3;0,0;1277631,0;171219231,9;3591309547,6;991663811,3
11-2021;681412181,9;482330897,6;290342,0;124236,2;813511,4;169286947,5;3485492781,1;1004560530,3
12-2021;1735107061,2;969672700,9;305934,4;36924484,4;55474121,0;355655495,7;4212580304,5;1364390000,9
01-2022;717004766,4;491521500,5;622152,4;0,0;3046212,2;188011579,2;4140897255,2;993211602,9
02-2022;686143788,8;498576536,4;372801,0;0,0;2762997,0;180641774,9;4343432644,0;1277188230,0
03-2022;698363535,1;496667186,4;302464,9;0,0;10536541,6;227206589,4;3945319928,6;1218340420,6
04-2022;713365589,4;503731513,3;714954,7;0,0;1394477,6;174867653,7;3914117085,1;1124186860,8
05-2022;744728927,4;506397488,3;1961349,4;0,0;1417756,9;183183684,3;4214906730,8;1141500393,4
06-2022;904910396,4;613770191,9;1812888,9;0,0;1448826,5;221057670,2;3905929928,5;1094643721,4
07-2022;923038805,0;604732165,5;1427202,3;0,0;984378,8;201330117,5;3845431926,9;1031298467,9
08-2022;872915186,3;602484116,5;6778623,3;0,0;2266198,8;231161692,2;5622565442,0;1083949321,4
09-2022;1606516403,4;904235213,2;4013315,2;0,0;1094950,8;278807987,7;3663789080,8;1037958721,7
10-2022;956222681,2;505277326,2;2889719,6;53419507,6;9452730,4;215536300,0;3854879931,2;986481221,7
11-2022;983665750,1;700728864,2;3259286,2;0,0;691355,9;208554285,4;4333252780,6;1092190891,9
